"id","publication_id","title","author","emage_id"
"1","2392150","'Formins': proteins deduced from the alternative transcripts of the limb deformity gene.","Woychik RP, Maas RL, Zeller R, Vogt TF, Leder P","412"
"2","2392150","'Formins': proteins deduced from the alternative transcripts of the limb deformity gene.","Woychik RP, Maas RL, Zeller R, Vogt TF, Leder P","413"
"3","2392150","'Formins': proteins deduced from the alternative transcripts of the limb deformity gene.","Woychik RP, Maas RL, Zeller R, Vogt TF, Leder P","411"
"4","2392150","'Formins': proteins deduced from the alternative transcripts of the limb deformity gene.","Woychik RP, Maas RL, Zeller R, Vogt TF, Leder P","410"
"5","2190533","3T3-L1 adipocyte glucose transporter (HepG2 class): sequence and regulation of protein and mRNA expression by insulin, differentiation, and glucose starvation.","Reed BC, Shade D, Alperovich F, Vang M","955"
"6","9165122","5-HT2B receptor-mediated serotonin morphogenetic functions in mouse cranial neural crest and myocardiac cells.","Choi DS, Ward SJ, Messaddeq N, Launay JM, Maroteaux L","3440"
"7","9165122","5-HT2B receptor-mediated serotonin morphogenetic functions in mouse cranial neural crest and myocardiac cells.","Choi DS, Ward SJ, Messaddeq N, Launay JM, Maroteaux L","3441"
"8","9165122","5-HT2B receptor-mediated serotonin morphogenetic functions in mouse cranial neural crest and myocardiac cells.","Choi DS, Ward SJ, Messaddeq N, Launay JM, Maroteaux L","3442"
"9","99146889","A Drosophila doublesex-related gene, terra, is involved in somitogenesis in vertebrates.","Meng A, Moore B, Tang H, Yuan B, Lin S","169"
"10","8114702","A Mef2 gene that generates a muscle-specific isoform via alternative mRNA splicing.","Martin JF, Miano JM, Hustad CM, Copeland NG, Jenkins NA, Olson EN","4547"
"11","10529425","oto is a homeotic locus with a role in anteroposterior development that is partially redundant with Lim1.","Zoltewicz JS, Plummer NW, Lin MI, Peterson AS","586"
"12","1972777","A POU-domain transcription factor in early stem cells and germ cells of the mammalian embryo.","Rosner MH, Vigano MA, Ozato K, Timmons PM, Poirier F, Rigby PW, Staudt LM","117"
"13","1972777","A POU-domain transcription factor in early stem cells and germ cells of the mammalian embryo.","Rosner MH, Vigano MA, Ozato K, Timmons PM, Poirier F, Rigby PW, Staudt LM","113"
"14","17216607","A Sall4 mutant mouse model useful for studying the role of Sall4 in early embryonic development and organogenesis.","Warren M, Wang W, Spiden S, Chen-Murchie D, Tannahill D, Steel KP, Bradley A","5023"
"15","20059953","A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58","Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara","26150"
